state,guns
Alabama,16
Alaska,2
Arizona,2
Arkansas,4
California,79
Colorado,15
Connecticut,53
Delaware,21
Florida,6
Georgia,8
Hawaii,42
Idaho,2
Illinois,28
Indiana,6
Iowa,14
Kansas,7
Kentucky,2
Louisiana,2
Maine,11
Maryland,52
Massachusetts,54
Michigan,23
Minnesota,15
Mississippi,6
Missouri,4
Montana,4
Nebraska,8
Nevada,9
New Hampshire,9
New Jersey,73
New Mexico,4
New York,50
North Carolina,19
North Dakota,4
Ohio,11
Oklahoma,2
Oregon,17
Pennsylvania,25
Rhode Island,45
South Carolina,10
South Dakota,4
Tennessee,8
Texas,9
Utah,0
Vermont,8
Virginia,17
Washington,17
West Virginia,4
Wisconsin,10
Wyoming,10