state,june
Alabama,10.1
Alaska,8.4
Arizona,8.7
Arkansas,7.2
California,11.6
Colorado,7.6
Connecticut,8.0
Delaware,8.4
District of Columbia,10.9
Florida,10.6
Georgia,10.1
Hawaii,7.4
Idaho,8.4
Illinois,10.3
Indiana,10.7
Iowa,6.2
Kansas,7.0
Kentucky,10.9
Louisiana,6.8
Maine,8.5
Maryland,7.3
Massachusetts,8.6
Michigan,15.2
Minnesota,8.4
Mississippi,9.0
Missouri,9.3
Montana,6.4
Nebraska,5.0
Nevada,12.0
New Hampshire,6.8
New Jersey,9.2
New Mexico,6.8
New York,8.7
North Carolina,11.0
North Dakota,4.2
Ohio,11.1
Oklahoma,6.3
Oregon,12.2
Pennsylvania,8.3
Rhode Island,12.4
South Carolina,12.1
South Dakota,5.1
Tennessee,10.8
Texas,7.5
Utah,5.7
Vermont,7.1
Virginia,7.2
Washington,9.3
West Virginia,9.2
Wisconsin,9.0
Wyoming,5.9