state,septem
Alabama,10.7
Alaska,8.4
Arizona,9.1
Arkansas,7.1
California,12.2
Colorado,7.0
Connecticut,8.4
Delaware,8.3
District of Columbia,11.4
Florida,11.0
Georgia,10.1
Hawaii,7.2
Idaho,8.8
Illinois,10.5
Indiana,9.6
Iowa,6.7
Kansas,6.9
Kentucky,10.9
Louisiana,7.4
Maine,8.5
Maryland,7.2
Massachusetts,9.3
Michigan,15.3
Minnesota,7.3
Mississippi,9.2
Missouri,9.5
Montana,6.7
Nebraska,4.9
Nevada,13.3
New Hampshire,7.2
New Jersey,9.8
New Mexico,7.7
New York,8.9
North Carolina,10.8
North Dakota,4.2
Ohio,10.1
Oklahoma,6.7
Oregon,11.5
Pennsylvania,8.8
Rhode Island,13.0
South Carolina,11.6
South Dakota,4.8
Tennessee,10.5
Texas,8.2
Utah,6.2
Vermont,6.7
Virginia,6.7
Washington,9.3
West Virginia,8.9
Wisconsin,8.3
Wyoming,6.8