state,spi
United States,12051307
Alabama,155254.675
Alaska,32749.05
Arizona,211397.7
Arkansas,90242.45
California,1554229.675
Colorado,198147.175
Connecticut,213686.8
Delaware,36291.075
District of Columbia,35803.35
Florida,682319.55
Georgia,327375.25
Hawaii,56013.4
Idaho,48408.7
Illinois,525582.325
Indiana,219712.575
Iowa,112828.975
Kansas,110481.975
Kentucky,138837.5
Louisiana,163381.825
Maine,49084.875
Maryland,278546.5
Massachusetts,332151.975
Michigan,336043.475
Minnesota,215787.45
Mississippi,88579.7
Missouri,215540.55
Montana,33729.825
Nebraska,71199.675
Nevada,97544.4
New Hampshire,59597.35
New Jersey,439321.75
New Mexico,66678.7
New York,914586.3
North Carolina,337787.05
North Dakota,26507.425
Ohio,410863.85
Oklahoma,131404.8
Oregon,134830.95
Pennsylvania,511713.875
Rhode Island,42946.775
South Carolina,145609.075
South Dakota,31681.75
Tennessee,217319.175
Texas,911226.975
Utah,86896.45
Vermont,24990.35
Virginia,348944.175
Washington,279037.75
West Virginia,58149.825
Wisconsin,215913.3
Wyoming,24346.825