LOCATION,tert
AUS,44.374836
AUT,33.863789
BEL,43.801159
CAN,56.169838
CZE,22.630354
DNK,37.582073
FIN,39.207012
FRA,42.87175
DEU,26.133959
GRC,31.15996
HUN,26.019491
ISL,36.221165
IRL,48.32497
ITA,20.719744
JPN,56.70573
KOR,61.449047
LUX,44.22842
MEX,17.700443
NLD,40.803711
NOR,47.255039
POL,37.126976
PRT,24.804928
SVK,24.029381
ESP,40.312317
SWE,42.23127
CHE,37.405544
TUR,17.447386
GBR,46.046906
USA,42.310982
CHN,17.948812
EST,38.010132
IDN,9.6603518
ISR,44.216198
RUS,52.537052
SVN,31.307655
ZAF,3.5694432
OAVG,37.749624
LVA,34.697613
LTU,46.317448
CRI,26.131706
G20,34.376419